user_id,movie_id,rating,timestamp,title,genres,gender,age,occupation,zip,genres_length
107,12,4,968035345,Ed Wood (1994),"1,2",0,2,4,35,2
123,169,3,966536874,Patriot Games (1992),"3,4",1,1,4,118,2
12,6,4,976203603,"Bridges of Madison County, The (1995)","2,5",0,2,13,99,2
21,112,3,975430389,Indiana Jones and the Temple of Doom (1984),"3,6",1,1,18,55,2
187,45,5,957782527,"Apartment, The (1960)","1,2",1,5,19,41,2
99,146,1,972769867,Problem Child 2 (1991),1,1,1,0,108,1
102,43,5,969738869,Matilda (1996),"7,1",0,0,1,137,2
24,156,5,975273310,Chushingura (1962),2,1,5,1,45,1
134,30,5,966223349,Searching for Bobby Fischer (1993),2,1,2,16,84,1
68,174,3,974694703,"Outlaw Josey Wales, The (1976)",8,1,5,10,144,1
97,82,5,971769808,Jaws (1975),"3,9",0,3,19,178,2
7,173,5,976316283,High Fidelity (2000),1,1,2,2,140,1
77,91,5,974759084,As Good As It Gets (1997),"1,2",0,1,4,31,2
1,108,3,977788576,"Parent Trap, The (1998)","7,2",1,6,1,86,2
125,132,1,976298130,I Stand Alone (Seul contre tous) (1998),2,1,2,4,112,1
78,40,3,980013556,"Nutty Professor, The (1996)","1,10,5,11",1,1,0,94,4
191,109,4,956716684,101 Dalmatians (1961),"12,7",0,2,14,62,2
124,31,3,966363610,Serial Mom (1994),"1,13,9",1,3,7,16,3
145,180,4,964489599,Blood Simple (1984),"2,14",1,3,16,39,2
99,183,3,972413564,F/X (1986),"3,13,4",1,1,0,108,3
186,129,1,957898337,Armed and Dangerous (1986),"1,13",1,2,1,142,2
69,67,2,974695654,Manhattan (1979),"1,2,5",1,4,13,165,3
175,137,3,960328279,"Rocky Horror Picture Show, The (1975)","1,9,15,11",1,4,7,3,4
44,87,3,974851275,Love! Valour! Compassion! (1997),"2,5",1,3,14,44,2
103,127,3,969324381,Cocoon (1985),"1,11",1,2,2,135,2
150,8,3,963602574,Clockers (1995),2,1,6,7,70,1
54,104,3,974709821,Hello Mary Lou: Prom Night II (1987),9,1,2,19,166,1
73,100,4,974677761,On the Waterfront (1954),"13,2",0,6,12,9,2
113,140,4,979949863,"Ideal Husband, An (1999)",1,0,4,1,33,1
9,25,4,976284972,"Hudsucker Proxy, The (1994)","1,5",1,2,11,96,2
65,122,2,974699637,"Player, The (1992)","1,2",1,1,0,162,2
159,124,4,962619587,Sid and Nancy (1986),2,1,3,0,155,1
144,116,4,964883648,Rosemary's Baby (1968),"9,4",1,2,4,79,2
37,126,4,1011716691,Shakespeare in Love (1998),"1,5",0,1,19,85,2
86,72,5,974435324,Young Frankenstein (1974),"1,9",1,5,1,69,2
176,117,4,959787754,Beetlejuice (1988),"1,10",1,4,1,145,2
16,42,1,975799925,High School High (1996),1,1,1,4,149,1
100,145,5,970189524,"Sixth Sense, The (1999)",4,1,4,1,136,1
75,131,4,975522689,"Deep End of the Ocean, The (1999)",2,0,3,3,187,1
14,2,4,975812238,Twelve Monkeys (1995),"2,11",1,3,19,23,2
6,52,5,978471241,Sleeper (1973),"1,11",1,5,14,95,2
165,17,4,962338215,"Mask, The (1994)","1,13,10",0,2,8,150,3
143,101,4,965094644,"Last Emperor, The (1987)","2,16",1,5,0,1,2
177,94,5,959713840,"Man in the Iron Mask, The (1998)","3,2,5",0,2,16,2,3
